urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
137377,873,Cambridgeshire,"Abbey College, Ramsey",http://www.abbeycollege.cambs.sch.uk/,Ramsey,PE26 1DG,East of England,no
110809,873,Cambridgeshire,Alconbury CofE Primary School,www.alconburyprimaryschool.org.uk,Huntingdon,PE28 4EQ,East of England,no
136653,873,Cambridgeshire,Alderman Jacobs School,www.aldermanjacobs.cambs.sch.uk/,Peterborough,PE7 1XJ,East of England,no
110644,873,Cambridgeshire,Alderman Payne Primary School,http://www.aldermanpayne.co.uk,Wisbech,PE13 4JA,East of England,no
139537,873,Cambridgeshire,All Saints Interchurch Academy,www.allsaints.cambs.sch.uk,March,PE15 8ND,East of England,no
110664,873,Cambridgeshire,Arbury Primary School,www.arbury.cambs.sch.uk,Cambridge,CB4 2DE,East of England,no
143440,873,Cambridgeshire,Babraham CofE (VC) Primary School,babraham.demat.org.uk,Cambridge,CB22 3AG,East of England,no
145801,873,Cambridgeshire,Bar Hill Community Primary School,http://www.barhillschool.co.uk,Cambridge,CB23 8DY,East of England,no
110781,873,Cambridgeshire,Barrington CofE VC Primary School,www.barrington.cambs.sch.uk,Cambridge,CB22 7RG,East of England,no
137427,873,Cambridgeshire,Bassingbourn Village College,www.bassingbournvc.net,Royston,SG8 5NJ,East of England,no
110643,873,Cambridgeshire,Beaupre Community Primary School,www.beaupreprimary.co.uk/,Wisbech,PE14 8RH,East of England,no
110627,873,Cambridgeshire,Benwick Primary School,http://www.benwick.cambs.sch.uk,March,PE15 0XA,East of England,no
110746,873,Cambridgeshire,Bewick Bridge Community Primary School,http://www.bewickbridge.co.uk,Cambridge,CB1 9ND,East of England,no
145425,873,Cambridgeshire,Bottisham Community Primary School,www.bottisham.cambs.sch.uk/,Cambridge,CB25 9BE,East of England,no
136677,873,Cambridgeshire,Bottisham Village College,http://www.bottishamvc.org/,Cambridge,CB25 9DL,East of England,no
137626,873,Cambridgeshire,Bourn CofE Primary Academy,www.bournschool.co.uk/,Cambridge,CB23 2SP,East of England,no
110827,873,Cambridgeshire,Brington CofE Primary School,www.brington.org/,Huntingdon,PE28 5AE,East of England,no
110596,873,Cambridgeshire,Brunswick Nursery School,www.brunswick.cambs.sch.uk,Cambridge,CB1 2LZ,East of England,no
137639,873,Cambridgeshire,Buckden CofE Primary School,www.buckdenschool.co.uk/,St Neots,PE19 5TT,East of England,no
150756,873,Cambridgeshire,Burrough Green CofE Primary Academy,https://www.burroughgreen.cambs.sch.uk/,Newmarket,CB8 9NH,East of England,no
150374,873,Cambridgeshire,Burrowmoor Primary Academy,burrowmoor.net,March,PE15 9RP,East of England,no
110758,873,Cambridgeshire,Burwell Village College (Primary),https://burwellvillageprimary.co.uk/,Cambridge,CB25 0DU,East of England,no
139844,873,Cambridgeshire,Bury CofE Primary School,http://bury.demat.org.uk,Huntingdon,PE26 2NJ,East of England,no
132031,873,Cambridgeshire,Bushmead Primary School,www.bushmead.cambs.sch.uk/,St Neots,PE19 8BT,East of England,no
110603,873,Cambridgeshire,Caldecote Primary School,www.caldecoteprimaryschool.org.uk/,Cambridge,CB23 7NX,East of England,no
139408,873,Cambridgeshire,Cambourne Village College,http://www.cambournevc.org/,Cambridge,CB23 6FR,East of England,no
140265,873,Cambridgeshire,Cambridge Academy for Science and Technology,https://www.cambridgeast.org.uk/,Cambridge,CB2 0SZ,East of England,no
149596,873,Cambridgeshire,Cambridge Maths School,https://cms.tela.org.uk/,Cambridge,CB1 2AZ,East of England,no
110784,873,Cambridgeshire,Castle Camps Church of England (Controlled) Primary School,http://www.castlecampsschool.co.uk,Cambridge,CB21 4TH,East of England,no
134972,873,Cambridgeshire,"Castle School, Cambridge",www.castleschool.info,Cambridge,CB4 2EE,East of England,no
143871,873,Cambridgeshire,Cavalry Primary School,http://www.cavalry.cambs.sch.uk,March,PE15 9EQ,East of England,no
110801,873,Cambridgeshire,Cherry Hinton Church of England Voluntary Controlled Primary School,http://cherryhinton.cambs.sch.uk,Cambridge,CB1 9HH,East of England,no
136887,873,Cambridgeshire,Chesterton Community College,https://ccc.tela.org.uk/,Cambridge,CB4 3NY,East of England,no
139556,873,Cambridgeshire,Chesterton Primary School,www.chestertonprimary.org,Cambridge,CB4 1RW,East of England,no
